imdb_title_id,weighted_average_vote,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote
tt4706702,4.5,4.5,4.6,4.5,4.3,5.1
tt4706888,4.4,4.6,4.1,4.1,4.4,4.6
tt4707274,5.6,5.4,5.8,5.5,5.6,5.8
tt4707756,6.3,6.4,6.3,5.7,6.2,6.6
tt4707940,5.4,5.5,5.2,5.4,5.3,5.6
tt4708300,3.5,4.5,3.7,3.4,3.6,3.3
tt4708346,5.3,5.6,5.4,5.0,5.3,5.2
tt4708348,5.7,5.8,5.7,5.8,5.6,5.9
tt4709318,3.9,3.3,4.2,4.0,4.0,4.1
tt4711724,5.5,5.5,5.7,5.3,5.6,4.7
tt4711924,4.7,4.9,4.7,4.6,4.7,4.7
tt4711952,5.3,5.7,5.3,5.4,5.4,5.5
tt4712076,6.1,6.2,6.1,5.8,6.1,5.8
tt4712086,5.1,5.8,4.8,5.0,4.9,5.3
tt4712516,4.5,5.6,4.7,4.1,4.6,4.4
tt4712618,5.1,5.3,5.0,4.9,5.0,5.1
tt4712754,4.6,4.8,4.1,4.6,4.5,4.6
tt4712818,5.5,5.7,5.4,5.1,5.6,5.2
tt4713312,2.6,2.5,2.6,2.6,2.7,2.2
tt4713440,1.1,,4.5,6.0,4.9,
tt4714204,3.7,2.9,3.8,3.7,3.8,3.0
tt4714454,6.9,6.7,7.0,6.1,6.5,7.2
tt4714568,7.1,7.2,7.0,6.9,7.0,7.4
tt4714710,4.4,4.5,4.2,4.1,4.1,4.4
tt4714782,6.1,6.4,6.1,6.0,6.2,5.9
tt4714896,5.5,5.7,5.2,5.7,5.4,5.9
tt4714924,6.7,6.7,6.8,6.7,6.7,7.2
tt4715356,5.5,5.6,5.4,5.6,5.5,5.5
tt4715652,4.6,4.9,4.2,4.7,4.5,4.8
tt4716728,6.9,7.5,5.9,6.7,6.4,7.6
tt4716958,6.1,6.7,6.0,5.6,6.0,6.2
tt4717194,2.0,1.9,1.7,4.1,2.0,3.2
tt4717204,6.8,7.1,6.8,6.7,6.9,6.7
tt4717208,3.8,4.7,3.3,3.8,3.7,3.5
tt4717402,6.7,6.8,6.7,6.6,6.7,7.0
tt4717422,6.7,4.0,3.8,3.9,3.9,4.2
tt4717534,7.9,8.9,5.6,3.6,6.2,9.7
tt4717644,6.7,6.9,6.0,6.8,6.2,7.3
tt4717746,2.6,2.1,2.3,3.0,2.4,3.7
tt4718500,6.3,6.6,6.2,6.2,6.2,6.5
tt4718728,6.3,6.5,6.2,5.1,6.2,5.3
tt4718762,5.4,5.4,5.3,4.5,5.3,5.2
tt4719236,6.5,6.8,6.4,6.7,6.6,6.4
